Country,CODE,WB_Income-2023 data,When collected,Status,Source,Tool,More info,Internal notes
Algeria,DZA,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Bangladesh,BGD,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Benin,BEN,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Brazil,BRA,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Burkina Faso,BFA,Low income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Cameroon,CMR,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
China,CHN,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Congo (Brazzaville),COG,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Egypt,EGY,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Ethiopia,ETH,Low income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Gabon,GAB,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Ghana,GHA,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Guatemala,GTM,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Guinea,GIN,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Honduras,HND,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
India,IND,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Ivory Coast,CIV,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Kenya,KEN,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Mali,MLI,Low income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Mauritius,MUS,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Mongolia,MNG,Upper middle income,2020,Completed,Multiple Indicator Cluster Surveys (MICS-UNICEF),HWISE-12,https://mics.unicef.org/sites/mics/files/2024-05/MNG%20MICSPlus%20Wave6_Snapshot_20220201.pdf,
Morocco,MAR,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Namibia,NAM,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Nigeria,NGA,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Senegal,SEN,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
South Africa,ZAF,Upper middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Tanzania,TZA,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Togo,TGO,Low income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Tunisia,TUN,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Uganda,UGA,Low income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Zambia,ZMB,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Zimbabwe,ZWE,Lower middle income,2020,Completed,Gallup World Poll,IWISE-12,https://gh.bmj.com/content/6/10/e006460,
Brazil,BRA,Upper middle income,2021,Completed,Rede PENSSAN,HWISE-4,https://olheparaafome.com.br/wp-content/uploads/2022/06/Relatorio-II-VIGISAN-2022.pdf,"this needs to appear, it's not currently rendering"
Mexico,MEX,Upper middle income,2021,Completed,Encuesta Nacional de Salud y Nutricion/INSP,HWISE-12,https://doi.org/10.21149/14788 ,when I click this URL it takes me to WISE_scales@northwestern.edu but it should take us to this URL: https://doi.org/10.21149/14424
Afghanistan,AFG,Low income,2022,Completed,Gallup World Poll,IWISE-12,https://doi.org/10.21985/n2-avk4-9932,
Australia,AUS,High income,2022,Completed,Gallup World Poll,IWISE-12,https://doi.org/10.21985/n2-avk4-9932,
Indonesia,IDN,Upper middle income,2022,Completed,Gallup World Poll,IWISE-12,https://doi.org/10.21985/n2-avk4-9932,
Madagascar,MDG,Low income,2022,Completed,Gallup World Poll,IWISE-12,https://doi.org/10.21985/n2-avk4-9932,
Mexico,MEX,Upper middle income,2022,Completed,Encuesta Nacional de Salud y Nutricion/INSP,HWISE-12,https://doi.org/10.21149/14788 ,when I click this URL it takes me to WISE_scales@northwestern.edu but it should take us to the URL: https://doi.org/10.21149/14788
Peru,PER,Upper middle income,2022,Completed,Gallup World Poll,IWISE-12,https://doi.org/10.21985/n2-avk4-9932,
Solomon Islands,SLB,Lower middle income,2022,Completed,Equality Insights,HWISE-4,"https://equalityinsights.org/resources/eir-report-solomon-islands-survey-2022/#:~:text=Equality%20Insights%20is%20a%20quantitative,status%20or%20other%20demographic%20characteristics.",
